"Brand","Model","Model_year","Mileage","Horsepower","Accident","Price"
"Toyota","Tundra Hybrid TRD Pro",2022,7000,437,0,75500
"Audi","SQ5 3.0T Premium Plus",2022,8497,NA,0,52900
"Audi","A6 2.0T Premium Plus",2016,68000,252,1,20000
"Lamborghini","Huracan EVO Base",2022,2523,NA,0,288900
"BMW","328 xi",2007,83000,230,0,8995
"Audi","SQ5 3.0T Prestige",2018,25000,354,0,50000
"Cadillac","Escalade Sport Platinum",2021,15689,NA,0,97952
"BMW","M235 i",2014,125450,320,0,17200
"Kia","Telluride SX",2023,9822,NA,0,50998
"Chevrolet","Express 3500 Base",2008,144000,323,0,22000
"GMC","Acadia SLE",2020,30900,NA,0,27654
"BMW","X3 xDrive30i",2021,2492,NA,0,41598
"Audi","TT 2.0T",2015,126760,211,1,14000
"Subaru","Outback 3.6R Touring",2017,100680,256,0,20500
"Mitsubishi","Eclipse Spyder GS",2001,90400,140,0,4495
"Hyundai","Santa Fe SEL",2022,26895,NA,NA,29800
"BMW","M5 Base",2018,20500,600,0,67000
"Dodge","Ram 1500 ST",2011,134000,390,1,10500
"Ford","Fusion Energi Titanium",2015,84352,188,1,10000
"Toyota","Tundra Hybrid TRD Pro",2022,19000,437,0,71000
"Land","Rover Range Rover Evoque Pure",2015,115550,240,0,17500
"Lincoln","Navigator Base",2009,191775,310,1,9750
"Ford","Mustang Mach-E Select",2023,923,NA,0,46998
"Mercedes-Benz","Sprinter 3500 High Roof",2017,124630,188,0,75000
"Mercedes-Benz","AMG E 63 S 4MATIC",2019,17000,603,0,95000
"BMW","440 i xDrive",2018,73500,320,0,32000
"Acura","Integra LS",1998,120000,140,1,5500
"Audi","Q7 55 Prestige",2019,73837,NA,0,36340
"BMW","M6 Base",2014,29500,560,0,40999
"Volkswagen","Arteon 2.0T SE",2021,13613,NA,0,29798
"Lexus","LX 600 F SPORT",2023,1185,409,0,120990
"INFINITI","Q40 Base",2015,143250,328,0,11500
"BMW","Z4 3.0i Roadster",2006,46508,215,1,11500
"BMW","M6 Base",2015,18651,560,0,59549
"BMW","X3 M40i",2019,36438,NA,0,39998
"Kia","Sorento LX",2014,46628,NA,0,15363
"Rivian","R1S Adventure Package",2023,5700,835,0,95000
"BMW","Z4 sDrive28i",2015,57550,240,0,29995
"Cadillac","CTS-V Base",2017,48600,640,0,60999
"Ford","Transit Connect XL",2020,119000,169,0,18000
"Land","Rover Range Rover Velar SVAutobiography Dynamic Edition",2020,36500,550,0,72000
"Lexus","IS 250 Base",2010,121250,204,1,13250
"BMW","X7 xDrive40i",2023,2437,375,0,78350
"Volvo","XC90 T6 Momentum",2018,110380,316,1,22000
"Hyundai","Tucson Limited",2008,149000,173,0,3850
"Dodge","Durango GT",2021,14684,NA,0,37995
"Mercedes-Benz","AMG C 43 Base 4MATIC",2017,39000,362,1,39000
"GMC","Yukon XL SLT",2019,65212,NA,0,42995
"Audi","RS Q8 4.0T",2020,41856,591,0,91500
"Rivian","R1S Adventure Package",2023,655,835,0,94500
"Toyota","RAV4 Hybrid XLE",2019,54000,219,0,33000
"Alfa","Romeo Stelvio Quadrifoglio",2019,26500,505,0,53900
"Land","Rover Range Rover Evoque SE",2020,38356,NA,0,36598
"Alfa","Romeo Stelvio Ti Sport",2020,21487,NA,0,35345
"Cadillac","Escalade EXT Base",2007,99000,403,0,22999
"Ford","F-250 Lariat",2019,35597,NA,0,47756
"Nissan","350Z Enthusiast",2005,130307,287,0,9950
"Subaru","Legacy 2.5 i Premium",2010,178000,170,0,7600
"Honda","Civic LX",2003,160265,115,1,3000
"McLaren","570S Spider",2020,8700,562,0,185000
"Maserati","Ghibli S Q4",2016,1000,404,0,36000
"Jeep","Wagoneer Series II 4x4",2022,29800,NA,0,58900
"Maserati","Ghibli S Q4",2017,49750,404,0,27995
"Lexus","RX 300 Base",2002,121000,220,0,6348
"Lincoln","Aviator Luxury",2005,140000,302,0,2000
"Ford","Transit Connect XL",2018,66770,169,NA,21500
"Cadillac","SRX Luxury Collection",2016,61549,NA,1,19998
"Lincoln","MKS EcoBoost",2016,38100,365,0,21000
"Toyota","Yaris Base",2010,138071,106,0,5000
"Mercedes-Benz","AMG E 63 S 4MATIC",2019,40000,603,1,72000
"Mercedes-Benz","GLS 450 Base",2022,41545,NA,0,71998
"Mercedes-Benz","G-Class G 550 4MATIC",2019,47850,416,1,127899
"Hyundai","Veloster Turbo R-Spec",2014,128000,201,0,11000
"Toyota","4Runner Limited",2019,48156,NA,0,40368
"Mercedes-Benz","S-Class S 580 4MATIC",2021,4700,496,0,99900
"Audi","RS 7 4.0T Performance Prestige",2017,39071,NA,0,67900
"Mazda","MX-5 Miata Base",1999,96680,140,1,12900
"Mercedes-Benz","AMG C 43 Base",2017,53500,362,1,33999
"Chevrolet","Corvette Z06",2007,11025,505,0,47500
"Ford","F-250 King Ranch",2021,44000,475,1,73000
"Volkswagen","Tiguan 2.0T SE",2022,11000,184,0,27900
"BMW","750 Li xDrive",2012,103000,407,0,16000
"BMW","M3 CS",2024,456,543,0,128995
"Lexus","GX 460 Base",2018,64000,301,0,37300
"Audi","Q7 3.0T Premium",2017,108000,333,0,25999
"Alfa","Romeo Stelvio Ti Sport",2018,37045,280,1,26600
"Land","Rover Defender X",2023,5433,NA,0,95998
"BMW","750 i xDrive",2019,28744,NA,0,50998
"BMW","M3 Base",2015,65800,425,0,44950
"Rolls-Royce","Ghost Base",2021,850,563,0,314900
"Audi","e-tron Prestige",2019,33012,355,0,38000
"Lexus","IS 250 Base",2011,107818,204,1,11400
"Land","Rover Range Rover Evoque SE Premium",2016,79500,240,0,19000
"Ferrari","California T",2015,20000,553,1,124990
"Lexus","LC 500 Base",2018,37000,471,0,63997
"Kia","EV6 Wind",2022,11945,NA,0,38998
"GMC","Sierra 1500 SLE Crew Cab",2005,131800,295,1,5800
"Lexus","ES 350 Base",2008,146000,272,0,8995
"Nissan","370Z NISMO",2010,29000,350,0,29000
"Dodge","Ram 1500 Laramie",2004,141209,345,0,5700
"Ford","Expedition Limited",2016,85253,365,0,19995
